count,value
8577232,1
14514,2
259436,3
57069,4
34295,5
554084,6
21669,7
192225,8
60049,9
36852,10
524253,11
18419,12
123689,13
30705,14
36799,15
185152,16
20986,17
85116,18
36334,19
29779,20
222984,21
16820,22
60881,23
20841,24
25756,25
103557,26
16533,27
44602,28
23635,29
20227,30
117174,31
13286,32
34676,33
15659,34
17645,35
64010,36
12458,37
27397,38
17058,39
14875,40
70904,41
10354,42
22975,43
12154,44
12860,45
41669,46
10047,47
18835,48
13047,49
11118,50
50570,51
8559,52
17255,53
10044,54
10272,55
31590,56
8432,57
14824,58
11040,59
9086,60
36517,61
7347,62
13748,63
8748,64
8542,65
23601,66
7152,67
11779,68
9300,69
7557,70
28285,71
6205,72
11072,73
7215,74
7404,75
18682,76
6132,77
9905,78
7781,79
6601,80
22082,81
5574,82
9018,83
6295,84
5998,85
15262,86
5287,87
7995,88
6851,89
5427,90
17784,91
4718,92
8062,93
5435,94
6096,95
12759,96
6356,97
7154,98
11536,99
5873,100
2233221,101
5352,102
68649,103
11272,104
13118,105
67279,106
8543,107
42906,108
15127,109
9295,110
86006,111
5864,112
37566,113
8847,114
10640,115
38301,116
6880,117
30100,118
11473,119
9307,120
53689,121
5670,122
25822,123
8224,124
9862,125
26413,126
6764,127
20012,128
9236,129
9118,130
35181,131
5765,132
17511,133
6802,134
8557,135
20414,136
6172,137
14476,138
7646,139
7801,140
25269,141
5293,142
12814,143
6031,144
7080,145
16147,146
5599,147
10764,148
6999,149
6869,150
19030,151
4931,152
10136,153
5199,154
6442,155
12950,156
4778,157
8665,158
5949,159
5938,160
15683,161
4202,162
8270,163
4535,164
5557,165
10605,166
4339,167
7090,168
5198,169
5102,170
12812,171
3802,172
6640,173
4344,174
4873,175
9081,176
3846,177
6125,178
4753,179
4640,180
11054,181
3389,182
5644,183
3875,184
4352,185
7674,186
3638,187
5354,188
4363,189
4049,190
8887,191
3189,192
4812,193
3457,194
3926,195
6637,196
3341,197
4314,198
3561,199
2512,200
5959,201
1911,202
3115,203
2090,204
2330,205
4273,206
1931,207
2884,208
2473,209
2251,210
5209,211
1774,212
2643,213
1827,214
2066,215
3747,216
1780,217
2426,218
2055,219
1917,220
4567,221
1536,222
2420,223
1694,224
1904,225
3274,226
1560,227
2225,228
1930,229
1813,230
4220,231
1518,232
2162,233
1564,234
1753,235
3105,236
1565,237
1962,238
1810,239
1690,240
3629,241
1389,242
1974,243
1562,244
1550,245
2724,246
1410,247
1830,248
1711,249
1579,250
3335,251
1258,252
1801,253
1383,254
1380,255
2577,256
1389,257
1668,258
1592,259
1466,260
3063,261
1082,262
1640,263
1316,264
1329,265
2318,266
1197,267
1507,268
1500,269
1390,270
2815,271
1120,272
1579,273
1282,274
1269,275
2188,276
1090,277
1349,278
1482,279
1294,280
2566,281
1113,282
1456,283
1297,284
1183,285
2061,286
1100,287
1344,288
1307,289
1233,290
2493,291
1084,292
1357,293
1239,294
1276,295
1997,296
1148,297
1438,298
1499,299
2487,300
4436,301
2086,302
2600,303
2449,304
2394,305
3579,306
2141,307
2575,308
2443,309
2343,310
4120,311
1960,312
2494,313
2218,314
2291,315
3351,316
2134,317
2446,318
2395,319
2191,320
3615,321
1866,322
2299,323
2042,324
2047,325
3192,326
1954,327
2301,328
2179,329
2047,330
3443,331
1770,332
2222,333
1909,334
1934,335
2970,336
1847,337
2118,338
2095,339
1984,340
3067,341
1778,342
2055,343
1852,344
1828,345
2724,346
1759,347
1968,348
1972,349
1783,350
3076,351
1672,352
1975,353
1786,354
1886,355
2420,356
1810,357
1808,358
1838,359
1779,360
2762,361
1619,362
1891,363
1670,364
1667,365
2312,366
1592,367
1824,368
1921,369
1788,370
2698,371
1596,372
1846,373
1795,374
1626,375
2354,376
1559,377
1741,378
1688,379
1522,380
2476,381
1433,382
1627,383
1596,384
1508,385
2192,386
1493,387
1654,388
1702,389
1537,390
2459,391
1311,392
1544,393
1479,394
1488,395
2107,396
1347,397
1595,398
1479,399
1433,400
2227,401
1240,402
1507,403
1463,404
1425,405
1832,406
1369,407
1548,408
1425,409
1415,410
2129,411
1319,412
1471,413
1311,414
1379,415
1822,416
1293,417
1477,418
1506,419
1376,420
2006,421
1242,422
1403,423
1387,424
1307,425
1822,426
1195,427
1400,428
1353,429
1294,430
1809,431
1239,432
1303,433
1236,434
1197,435
1704,436
1213,437
1248,438
1399,439
1262,440
1676,441
1169,442
1279,443
1233,444
1207,445
1518,446
1193,447
1214,448
1269,449
1253,450
1741,451
1042,452
1150,453
1166,454
1187,455
1489,456
1140,457
1162,458
1196,459
1106,460
1621,461
1052,462
1072,463
1140,464
1122,465
1442,466
1044,467
1129,468
1255,469
1086,470
1435,471
1056,472
1087,473
1083,474
1103,475
1406,476
1067,477
1100,478
1140,479
1057,480
1450,481
945,482
1093,483
1020,484
1124,485
1303,486
1061,487
1114,488
1076,489
1035,490
1450,491
955,492
1039,493
962,494
987,495
1250,496
891,497
921,498
1028,499
964,500
1341,501
892,502
1018,503
993,504
867,505
1315,506
900,507
948,508
1066,509
886,510
1316,511
920,512
927,513
915,514
947,515
1201,516
907,517
923,518
893,519
900,520
1249,521
788,522
956,523
907,524
878,525
1221,526
820,527
879,528
930,529
861,530
1257,531
827,532
857,533
899,534
867,535
1071,536
796,537
902,538
1006,539
843,540
1149,541
791,542
949,543
859,544
821,545
1060,546
880,547
849,548
897,549
907,550
1133,551
816,552
880,553
829,554
871,555
1087,556
752,557
860,558
830,559
790,560
1059,561
756,562
829,563
790,564
846,565
929,566
798,567
828,568
835,569
772,570
1028,571
790,572
833,573
837,574
763,575
937,576
785,577
783,578
806,579
821,580
1015,581
694,582
820,583
751,584
846,585
857,586
761,587
785,588
844,589
753,590
1005,591
686,592
722,593
722,594
748,595
922,596
677,597
782,598
787,599
721,600
917,601
664,602
766,603
704,604
694,605
823,606
658,607
656,608
743,609
688,610
896,611
712,612
687,613
637,614
727,615
782,616
711,617
749,618
758,619
614,620
880,621
704,622
639,623
645,624
673,625
740,626
649,627
726,628
671,629
703,630
872,631
643,632
725,633
643,634
643,635
729,636
655,637
663,638
686,639
654,640
787,641
528,642
664,643
689,644
665,645
774,646
647,647
701,648
690,649
615,650
734,651
590,652
656,653
622,654
593,655
735,656
575,657
674,658
728,659
614,660
792,661
621,662
685,663
611,664
641,665
727,666
586,667
631,668
601,669
604,670
782,671
555,672
612,673
576,674
630,675
676,676
518,677
588,678
576,679
624,680
757,681
613,682
608,683
584,684
546,685
654,686
534,687
517,688
635,689
466,690
732,691
569,692
581,693
579,694
563,695
668,696
511,697
581,698
567,699
550,700
660,701
534,702
574,703
494,704
526,705
642,706
528,707
535,708
562,709
532,710
688,711
511,712
535,713
559,714
515,715
666,716
509,717
532,718
559,719
531,720
564,721
537,722
495,723
482,724
568,725
617,726
519,727
501,728
548,729
512,730
681,731
495,732
506,733
489,734
480,735
607,736
486,737
485,738
525,739
461,740
653,741
447,742
496,743
418,744
504,745
555,746
471,747
501,748
515,749
547,750
620,751
447,752
512,753
473,754
536,755
578,756
438,757
547,758
507,759
447,760
587,761
537,762
482,763
482,764
542,765
597,766
456,767
449,768
470,769
463,770
552,771
393,772
495,773
495,774
470,775
560,776
443,777
428,778
514,779
485,780
561,781
454,782
485,783
426,784
462,785
471,786
458,787
475,788
465,789
437,790
534,791
396,792
475,793
474,794
413,795
512,796
479,797
441,798
482,799
436,800
493,801
479,802
449,803
438,804
402,805
506,806
430,807
448,808
463,809
371,810
480,811
394,812
448,813
485,814
421,815
513,816
368,817
437,818
425,819
403,820
509,821
435,822
416,823
415,824
437,825
477,826
433,827
449,828
431,829
411,830
497,831
404,832
395,833
444,834
408,835
457,836
364,837
401,838
438,839
375,840
493,841
366,842
427,843
440,844
402,845
426,846
357,847
390,848
469,849
414,850
513,851
390,852
383,853
410,854
368,855
428,856
404,857
393,858
380,859
418,860
482,861
389,862
450,863
417,864
370,865
456,866
370,867
378,868
391,869
384,870
397,871
386,872
436,873
437,874
369,875
413,876
354,877
400,878
382,879
366,880
459,881
347,882
354,883
368,884
353,885
375,886
364,887
354,888
352,889
350,890
413,891
329,892
359,893
360,894
348,895
423,896
338,897
364,898
429,899
354,900
399,901
383,902
342,903
323,904
338,905
411,906
322,907
358,908
313,909
334,910
378,911
304,912
332,913
299,914
374,915
340,916
320,917
341,918
338,919
306,920
400,921
343,922
373,923
353,924
354,925
395,926
311,927
298,928
308,929
323,930
347,931
343,932
343,933
311,934
342,935
378,936
319,937
312,938
343,939
371,940
405,941
298,942
306,943
371,944
314,945
383,946
333,947
362,948
367,949
309,950
357,951
309,952
353,953
355,954
285,955
367,956
300,957
294,958
342,959
330,960
378,961
336,962
345,963
306,964
299,965
360,966
288,967
340,968
270,969
273,970
387,971
284,972
284,973
283,974
269,975
352,976
328,977
286,978
341,979
279,980
362,981
285,982
291,983
300,984
270,985
312,986
306,987
288,988
264,989
308,990
343,991
287,992
271,993
312,994
245,995
320,996
269,997
270,998
252,999
301,1000
342,1001
258,1002
295,1003
303,1004
302,1005
305,1006
297,1007
286,1008
313,1009
305,1010
323,1011
280,1012
258,1013
297,1014
261,1015
302,1016
312,1017
292,1018
263,1019
253,1020
302,1021
289,1022
311,1023
273,1024
296,1025
321,1026
307,1027
338,1028
324,1029
292,1030
299,1031
324,1032
286,1033
293,1034
309,1035
327,1036
277,1037
276,1038
329,1039
256,1040
353,1041
307,1042
237,1043
277,1044
277,1045
345,1046
286,1047
273,1048
279,1049
281,1050
312,1051
219,1052
257,1053
268,1054
256,1055
319,1056
262,1057
285,1058
251,1059
254,1060
301,1061
278,1062
211,1063
252,1064
271,1065
272,1066
255,1067
288,1068
292,1069
240,1070
272,1071
266,1072
239,1073
291,1074
256,1075
303,1076
219,1077
255,1078
285,1079
295,1080
305,1081
269,1082
266,1083
258,1084
229,1085
282,1086
251,1087
243,1088
265,1089
232,1090
289,1091
251,1092
276,1093
246,1094
269,1095
252,1096
253,1097
275,1098
236,1099
248,1100
257,1101
291,1102
271,1103
251,1104
248,1105
259,1106
309,1107
255,1108
255,1109
234,1110
306,1111
247,1112
283,1113
250,1114
263,1115
302,1116
226,1117
230,1118
276,1119
179,1120
241,1121
319,1122
255,1123
250,1124
247,1125
251,1126
239,1127
236,1128
238,1129
272,1130
293,1131
248,1132
227,1133
226,1134
235,1135
273,1136
297,1137
232,1138
245,1139
214,1140
214,1141
227,1142
243,1143
252,1144
248,1145
286,1146
238,1147
245,1148
248,1149
213,1150
238,1151
286,1152
262,1153
231,1154
227,1155
250,1156
198,1157
256,1158
247,1159
238,1160
300,1161
198,1162
263,1163
213,1164
257,1165
265,1166
239,1167
254,1168
233,1169
240,1170
262,1171
239,1172
200,1173
234,1174
198,1175
287,1176
235,1177
232,1178
272,1179
226,1180
253,1181
236,1182
223,1183
233,1184
212,1185
255,1186
229,1187
246,1188
214,1189
234,1190
216,1191
238,1192
259,1193
230,1194
195,1195
257,1196
194,1197
226,1198
194,1199
229,1200
205,1201
211,1202
231,1203
230,1204
225,1205
236,1206
202,1207
235,1208
200,1209
211,1210
237,1211
238,1212
222,1213
232,1214
235,1215
222,1216
245,1217
161,1218
215,1219
190,1220
256,1221
205,1222
180,1223
231,1224
185,1225
191,1226
198,1227
221,1228
235,1229
229,1230
237,1231
229,1232
216,1233
252,1234
212,1235
224,1236
216,1237
201,1238
225,1239
213,1240
215,1241
200,1242
216,1243
216,1244
205,1245
257,1246
195,1247
181,1248
204,1249
201,1250
235,1251
188,1252
208,1253
198,1254
202,1255
212,1256
182,1257
163,1258
211,1259
207,1260
215,1261
222,1262
145,1263
220,1264
207,1265
188,1266
210,1267
181,1268
214,1269
192,1270
228,1271
193,1272
191,1273
190,1274
185,1275
230,1276
191,1277
214,1278
244,1279
178,1280
219,1281
191,1282
227,1283
175,1284
188,1285
197,1286
191,1287
189,1288
229,1289
193,1290
209,1291
178,1292
231,1293
184,1294
189,1295
220,1296
215,1297
202,1298
184,1299
193,1300
226,1301
198,1302
162,1303
198,1304
190,1305
234,1306
181,1307
176,1308
213,1309
196,1310
232,1311
212,1312
194,1313
199,1314
162,1315
