count,value
1,-8442
1,-6485
1,-6374
1,-5792
1,-5673
1,-3643
1,-2905
1,-2778
1,-2334
1,-1898
1,-1886
1,-1510
1,-1441
1,-1436
1,-1310
1,-1250
1,-1205
1,-1114
1,-1113
1,-1090
1,-1029
1,-983
1,-848
1,-847
1,-845
1,-816
1,-803
1,-764
1,-730
1,-718
1,-717
1,-708
1,-695
1,-693
1,-667
1,-662
1,-624
1,-608
1,-597
1,-595
1,-563
1,-556
1,-548
1,-538
1,-534
1,-493
1,-483
1,-466
1,-458
1,-456
1,-454
1,-453
1,-447
1,-446
1,-432
1,-418
1,-415
1,-405
1,-394
1,-389
1,-386
1,-380
1,-377
1,-372
1,-345
1,-337
1,-328
1,-321
1,-320
1,-318
1,-314
1,-308
1,-307
2,-305
1,-299
1,-298
2,-296
1,-292
1,-287
1,-284
1,-280
1,-260
1,-257
1,-253
1,-250
1,-248
1,-246
1,-245
1,-238
1,-236
2,-231
1,-219
1,-218
1,-205
1,-203
1,-200
1,-194
1,-193
1,-192
1,-188
1,-180
1,-178
1,-176
1,-175
2,-172
2,-166
1,-159
1,-158
2,-155
2,-154
1,-150
1,-148
1,-146
3,-145
1,-144
2,-139
2,-133
1,-131
1,-130
1,-128
2,-127
1,-125
2,-123
1,-122
2,-120
2,-118
2,-117
2,-116
1,-115
1,-111
1,-110
1,-109
2,-107
3,-106
2,-104
2,-103
1,-101
1,-99
1,-98
2,-96
1,-95
4,-92
1,-91
1,-90
3,-89
1,-86
1,-85
2,-84
4,-83
4,-82
2,-81
1,-80
1,-78
1,-77
2,-76
3,-75
1,-74
2,-73
1,-71
1,-70
2,-69
1,-68
3,-67
3,-65
2,-64
2,-62
2,-61
3,-60
4,-58
3,-57
6,-56
8,-55
1,-53
3,-52
4,-51
1,-50
1,-49
3,-48
4,-47
2,-46
3,-44
2,-42
3,-41
5,-40
5,-39
3,-37
5,-36
3,-35
4,-34
3,-33
3,-32
8,-31
6,-30
8,-29
3,-28
12,-27
11,-26
8,-25
8,-24
10,-23
5,-22
9,-21
7,-20
13,-19
13,-18
15,-17
12,-16
9,-15
14,-14
19,-13
18,-12
21,-11
34,-10
25,-9
25,-8
29,-7
31,-6
74,-5
80,-4
98,-3
199,-2
589,-1
103202,0
30236,1
15179,2
9522,3
6886,4
5324,5
4266,6
3560,7
3098,8
2810,9
2327,10
2085,11
1934,12
1801,13
1608,14
1485,15
1294,16
1267,17
1142,18
1081,19
1034,20
953,21
885,22
893,23
803,24
774,25
746,26
642,27
642,28
624,29
608,30
582,31
525,32
503,33
471,34
473,35
462,36
447,37
406,38
432,39
391,40
404,41
381,42
377,43
369,44
343,45
342,46
321,47
329,48
316,49
299,50
297,51
293,52
270,53
227,54
267,55
253,56
243,57
247,58
262,59
255,60
221,61
230,62
216,63
216,64
189,65
197,66
196,67
197,68
192,69
175,70
178,71
180,72
166,73
181,74
193,75
148,76
162,77
166,78
159,79
132,80
156,81
129,82
150,83
144,84
144,85
149,86
126,87
138,88
117,89
126,90
141,91
141,92
125,93
135,94
115,95
130,96
132,97
105,98
118,99
104,100
100,101
96,102
117,103
102,104
99,105
93,106
114,107
103,108
111,109
91,110
114,111
115,112
110,113
94,114
92,115
86,116
93,117
86,118
73,119
87,120
91,121
92,122
69,123
81,124
79,125
80,126
75,127
64,128
78,129
84,130
79,131
67,132
75,133
94,134
75,135
77,136
76,137
83,138
67,139
42,140
59,141
84,142
73,143
56,144
67,145
63,146
75,147
52,148
80,149
65,150
89,151
51,152
61,153
58,154
45,155
52,156
53,157
57,158
67,159
56,160
45,161
56,162
60,163
66,164
60,165
53,166
61,167
51,168
55,169
57,170
65,171
44,172
44,173
56,174
58,175
65,176
46,177
50,178
56,179
36,180
55,181
42,182
50,183
50,184
35,185
35,186
41,187
42,188
46,189
53,190
47,191
43,192
41,193
54,194
49,195
49,196
54,197
39,198
33,199
43,200
34,201
43,202
44,203
39,204
35,205
41,206
47,207
34,208
37,209
36,210
33,211
43,212
46,213
28,214
41,215
34,216
43,217
46,218
27,219
36,220
37,221
28,222
35,223
32,224
38,225
52,226
29,227
41,228
30,229
34,230
32,231
32,232
33,233
40,234
29,235
36,236
44,237
33,238
40,239
31,240
31,241
44,242
28,243
33,244
27,245
34,246
28,247
37,248
32,249
37,250
40,251
28,252
25,253
32,254
46,255
27,256
20,257
37,258
19,259
25,260
26,261
28,262
25,263
34,264
34,265
27,266
25,267
31,268
29,269
29,270
25,271
23,272
28,273
34,274
24,275
25,276
28,277
31,278
45,279
30,280
30,281
20,282
27,283
27,284
32,285
22,286
30,287
13,288
22,289
29,290
24,291
18,292
18,293
25,294
29,295
18,296
24,297
25,298
26,299
26,300
28,301
20,302
26,303
23,304
18,305
28,306
29,307
17,308
20,309
32,310
20,311
21,312
22,313
20,314
26,315
20,316
24,317
23,318
19,319
15,320
25,321
24,322
21,323
21,324
18,325
13,326
21,327
17,328
22,329
24,330
16,331
22,332
20,333
23,334
15,335
22,336
22,337
12,338
20,339
9,340
14,341
19,342
20,343
26,344
18,345
22,346
19,347
16,348
15,349
12,350
15,351
19,352
27,353
15,354
23,355
17,356
16,357
18,358
14,359
15,360
17,361
12,362
13,363
11,364
18,365
12,366
17,367
18,368
20,369
16,370
16,371
13,372
15,373
13,374
21,375
10,376
16,377
18,378
17,379
22,380
19,381
15,382
18,383
13,384
16,385
9,386
18,387
15,388
11,389
14,390
21,391
13,392
19,393
17,394
9,395
16,396
16,397
17,398
6,399
19,400
13,401
3,402
18,403
19,404
24,405
9,406
11,407
20,408
17,409
13,410
22,411
10,412
17,413
16,414
9,415
12,416
14,417
19,418
15,419
10,420
13,421
12,422
15,423
15,424
16,425
12,426
24,427
17,428
17,429
13,430
12,431
10,432
20,433
13,434
13,435
11,436
11,437
12,438
9,439
19,440
8,441
17,442
11,443
10,444
12,445
11,446
11,447
15,448
15,449
17,450
9,451
13,452
9,453
19,454
11,455
17,456
16,457
17,458
12,459
13,460
10,461
18,462
18,463
11,464
9,465
9,466
23,467
15,468
11,469
11,470
9,471
11,472
6,473
14,474
14,475
17,476
9,477
10,478
11,479
14,480
15,481
16,482
14,483
8,484
12,485
17,486
12,487
7,488
8,489
9,490
4,491
6,492
14,493
14,494
8,495
8,496
5,497
13,498
14,499
5,500
11,501
13,502
8,503
11,504
11,505
14,506
11,507
9,508
14,509
12,510
9,511
9,512
11,513
7,514
5,515
6,516
8,517
9,518
13,519
8,520
12,521
5,522
11,523
12,524
10,525
13,526
7,527
7,528
9,529
11,530
15,531
8,532
7,533
12,534
4,535
16,536
6,537
7,538
10,539
9,540
8,541
14,542
9,543
13,544
4,545
6,546
8,547
11,548
7,549
9,550
8,551
9,552
7,553
11,554
9,555
9,556
8,557
9,558
7,559
